<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220531;110000;299.6500000
GAZP;60;20220531;120000;299.3200000
GAZP;60;20220531;130000;298.3400000
GAZP;60;20220531;140000;298.3100000
GAZP;60;20220531;150000;298.6100000
GAZP;60;20220531;160000;297.8500000
GAZP;60;20220531;170000;297.4400000
GAZP;60;20220531;180000;296.6600000
GAZP;60;20220531;190000;293.7500000
GAZP;60;20220601;110000;295.7600000
GAZP;60;20220601;120000;298.1700000
GAZP;60;20220601;130000;297.4300000
GAZP;60;20220601;140000;298.7000000
GAZP;60;20220601;150000;299.2000000
GAZP;60;20220601;160000;298.8000000
GAZP;60;20220601;170000;298.4800000
GAZP;60;20220601;180000;297.7800000
GAZP;60;20220601;190000;297.6900000
GAZP;60;20220602;110000;296.8300000
GAZP;60;20220602;120000;295.6500000
GAZP;60;20220602;130000;295.4700000
GAZP;60;20220602;140000;296.0600000
GAZP;60;20220602;150000;296.0000000
GAZP;60;20220602;160000;297.1500000
GAZP;60;20220602;170000;296.8000000
GAZP;60;20220602;180000;295.8200000
GAZP;60;20220602;190000;296.0000000
GAZP;60;20220603;110000;295.2000000
GAZP;60;20220603;120000;293.6000000
GAZP;60;20220603;130000;294.5900000
GAZP;60;20220603;140000;293.8500000
GAZP;60;20220603;150000;293.5200000
GAZP;60;20220603;160000;294.9500000
GAZP;60;20220603;170000;294.7800000
GAZP;60;20220603;180000;295.1900000
GAZP;60;20220603;190000;297.0000000
GAZP;60;20220606;110000;297.2000000
GAZP;60;20220606;120000;296.6700000
GAZP;60;20220606;130000;295.6300000
GAZP;60;20220606;140000;296.5000000
GAZP;60;20220606;150000;296.6900000
GAZP;60;20220606;160000;296.6100000
GAZP;60;20220606;170000;296.8600000
GAZP;60;20220606;180000;296.6500000
GAZP;60;20220606;190000;296.5000000
GAZP;60;20220607;110000;295.3000000
GAZP;60;20220607;120000;295.5200000
GAZP;60;20220607;130000;295.8200000
GAZP;60;20220607;140000;295.4300000
GAZP;60;20220607;150000;296.7300000
GAZP;60;20220607;160000;297.0500000
GAZP;60;20220607;170000;297.4800000
GAZP;60;20220607;180000;298.4000000
GAZP;60;20220607;190000;297.9900000
GAZP;60;20220608;110000;303.2800000
GAZP;60;20220608;120000;307.6500000
GAZP;60;20220608;130000;308.3300000
GAZP;60;20220608;140000;307.9000000
GAZP;60;20220608;150000;306.8500000
GAZP;60;20220608;160000;306.2300000
GAZP;60;20220608;170000;307.7000000
GAZP;60;20220608;180000;308.1400000
GAZP;60;20220608;190000;308.0000000
GAZP;60;20220609;110000;306.6500000
GAZP;60;20220609;120000;306.0100000
GAZP;60;20220609;130000;305.2900000
GAZP;60;20220609;140000;305.0600000
GAZP;60;20220609;150000;305.0200000
GAZP;60;20220609;160000;306.7900000
GAZP;60;20220609;170000;307.6000000
GAZP;60;20220609;180000;307.0300000
GAZP;60;20220609;190000;306.5000000
GAZP;60;20220610;110000;307.8500000
GAZP;60;20220610;120000;307.8000000
GAZP;60;20220610;130000;307.7900000
GAZP;60;20220610;140000;309.6000000
GAZP;60;20220610;150000;309.1800000
GAZP;60;20220610;160000;308.5700000
GAZP;60;20220610;170000;309.4000000
GAZP;60;20220610;180000;309.1200000
GAZP;60;20220610;190000;309.2000000
GAZP;60;20220614;110000;315.7000000
GAZP;60;20220614;120000;318.8900000
GAZP;60;20220614;130000;320.8000000
GAZP;60;20220614;140000;319.2000000
GAZP;60;20220614;150000;319.5800000
GAZP;60;20220614;160000;319.9900000
GAZP;60;20220614;170000;319.6800000
GAZP;60;20220614;180000;318.0000000
GAZP;60;20220614;190000;317.6900000
GAZP;60;20220615;110000;317.5100000
GAZP;60;20220615;120000;317.2900000
GAZP;60;20220615;130000;318.7000000
GAZP;60;20220615;140000;317.8700000
GAZP;60;20220615;150000;318.5000000
GAZP;60;20220615;160000;317.9600000
GAZP;60;20220615;170000;316.7500000
GAZP;60;20220615;180000;316.2600000
GAZP;60;20220615;190000;316.2000000
GAZP;60;20220616;110000;316.4400000
GAZP;60;20220616;120000;316.3900000
GAZP;60;20220616;130000;315.5300000
GAZP;60;20220616;140000;315.7500000
GAZP;60;20220616;150000;316.5000000
GAZP;60;20220616;160000;317.5000000
GAZP;60;20220616;170000;316.6300000
GAZP;60;20220616;180000;315.6700000
GAZP;60;20220616;190000;316.9900000
GAZP;60;20220617;110000;315.0500000
GAZP;60;20220617;120000;315.1700000
GAZP;60;20220617;130000;314.8800000
GAZP;60;20220617;140000;315.2500000
GAZP;60;20220617;150000;314.6700000
GAZP;60;20220617;160000;315.5100000
GAZP;60;20220617;170000;315.6400000
GAZP;60;20220617;180000;315.0100000
GAZP;60;20220617;190000;315.5000000
GAZP;60;20220620;110000;315.7100000
GAZP;60;20220620;120000;315.2000000
GAZP;60;20220620;130000;315.0000000
GAZP;60;20220620;140000;314.9900000
GAZP;60;20220620;150000;314.8200000
GAZP;60;20220620;160000;314.0500000
GAZP;60;20220620;170000;313.7000000
GAZP;60;20220620;180000;311.4400000
GAZP;60;20220620;190000;311.9800000
GAZP;60;20220621;110000;307.2800000
GAZP;60;20220621;120000;309.1900000
GAZP;60;20220621;130000;304.5900000
GAZP;60;20220621;140000;304.0600000
GAZP;60;20220621;150000;303.2100000
GAZP;60;20220621;160000;302.8200000
GAZP;60;20220621;170000;302.5500000
GAZP;60;20220621;180000;303.2300000
GAZP;60;20220621;190000;301.5800000
GAZP;60;20220622;110000;299.7000000
GAZP;60;20220622;120000;297.4700000
GAZP;60;20220622;130000;295.9800000
GAZP;60;20220622;140000;295.8800000
GAZP;60;20220622;150000;299.0800000
GAZP;60;20220622;160000;297.6000000
GAZP;60;20220622;170000;296.5800000
GAZP;60;20220622;180000;295.1000000
GAZP;60;20220622;190000;295.8000000
GAZP;60;20220623;110000;294.7500000
GAZP;60;20220623;120000;294.6400000
GAZP;60;20220623;130000;293.8800000
GAZP;60;20220623;140000;293.1000000
GAZP;60;20220623;150000;292.6800000
GAZP;60;20220623;160000;292.4000000
GAZP;60;20220623;170000;293.0000000
GAZP;60;20220623;180000;301.0200000
GAZP;60;20220623;190000;303.5000000
GAZP;60;20220624;110000;299.4800000
GAZP;60;20220624;120000;302.2100000
GAZP;60;20220624;130000;300.5700000
GAZP;60;20220624;140000;299.1400000
GAZP;60;20220624;150000;296.8200000
GAZP;60;20220624;160000;296.6200000
GAZP;60;20220624;170000;298.7000000
GAZP;60;20220624;180000;297.3800000
GAZP;60;20220624;190000;296.0000000
GAZP;60;20220627;110000;298.5000000
GAZP;60;20220627;120000;296.5400000
GAZP;60;20220627;130000;297.5000000
GAZP;60;20220627;140000;297.0500000
GAZP;60;20220627;150000;297.2900000
GAZP;60;20220627;160000;297.0900000
GAZP;60;20220627;170000;296.4000000
GAZP;60;20220627;180000;296.7900000
GAZP;60;20220627;190000;296.2000000
GAZP;60;20220628;110000;293.7200000
GAZP;60;20220628;120000;294.8900000
GAZP;60;20220628;130000;294.2800000
GAZP;60;20220628;140000;295.4700000
GAZP;60;20220628;150000;295.6800000
GAZP;60;20220628;160000;299.5500000
GAZP;60;20220628;170000;301.8200000
GAZP;60;20220628;180000;299.0000000
GAZP;60;20220628;190000;297.2000000
GAZP;60;20220629;110000;297.2900000
GAZP;60;20220629;120000;299.8200000
GAZP;60;20220629;130000;297.4800000
GAZP;60;20220629;140000;296.7800000
GAZP;60;20220629;150000;296.6800000
GAZP;60;20220629;160000;296.3400000
GAZP;60;20220629;170000;296.5900000
GAZP;60;20220629;180000;297.9500000
GAZP;60;20220629;190000;297.6500000
GAZP;60;20220630;110000;235.0000000
GAZP;60;20220630;120000;214.1000000
GAZP;60;20220630;130000;222.6400000
GAZP;60;20220630;140000;223.4000000
GAZP;60;20220630;150000;218.8200000
GAZP;60;20220630;160000;213.9400000
GAZP;60;20220630;170000;209.9800000
GAZP;60;20220630;180000;209.0900000
GAZP;60;20220630;190000;207.0000000
GAZP;60;20220701;110000;195.8700000
GAZP;60;20220701;120000;194.4000000
GAZP;60;20220701;130000;194.2000000
GAZP;60;20220701;140000;197.5000000
GAZP;60;20220701;150000;195.1300000
GAZP;60;20220701;160000;196.3000000
GAZP;60;20220701;170000;194.8500000
GAZP;60;20220701;180000;194.7400000
GAZP;60;20220701;190000;192.5000000
GAZP;60;20220704;110000;190.4200000
GAZP;60;20220704;120000;181.6800000
GAZP;60;20220704;130000;184.2300000
GAZP;60;20220704;140000;188.0000000
GAZP;60;20220704;150000;188.6000000
GAZP;60;20220704;160000;187.6100000
GAZP;60;20220704;170000;187.8000000
GAZP;60;20220704;180000;185.4400000
GAZP;60;20220704;190000;186.2500000
GAZP;60;20220705;110000;187.7900000
GAZP;60;20220705;120000;186.5800000
GAZP;60;20220705;130000;187.2800000
GAZP;60;20220705;140000;191.9900000
GAZP;60;20220705;150000;192.7700000
GAZP;60;20220705;160000;197.0500000
